x/c,y/c
1.0,0.00126
0.999416,0.001342
0.997666,0.001587
0.994753,0.001994
0.990685,0.00256
0.985471,0.00328
0.979123,0.004152
0.971656,0.005168
0.963087,0.006324
0.953437,0.007611
0.942728,0.009022
0.930985,0.010548
0.918235,0.012182
0.904509,0.013914
0.889837,0.015735
0.874255,0.017635
0.8578,0.019605
0.840508,0.021635
0.822421,0.023714
0.803581,0.025834
0.784032,0.027983
0.76382,0.030152
0.742992,0.032329
0.721596,0.034506
0.699682,0.03667
0.677303,0.038811
0.654509,0.040917
0.631354,0.042978
0.607892,0.04498
0.584179,0.046912
0.560268,0.048762
0.536217,0.050516
0.512082,0.052162
0.487918,0.053687
0.463783,0.055077
0.439732,0.05632
0.415822,0.057403
0.392108,0.058314
0.368646,0.059042
0.345492,0.059575
0.322698,0.059903
0.300318,0.060017
0.278404,0.05991
0.257008,0.059576
0.23618,0.059008
0.215968,0.058205
0.196419,0.057164
0.177579,0.055886
0.159492,0.054372
0.142201,0.052625
0.125745,0.050651
0.110163,0.048457
0.095492,0.046049
0.081765,0.043437
0.069015,0.040631
0.057272,0.037641
0.046563,0.034479
0.036913,0.031156
0.028344,0.027683
0.020877,0.024071
0.014529,0.02033
0.009315,0.016471
0.005247,0.012501
0.002334,0.008429
0.000584,0.00426
0.0,0.0
0.000584,-0.00426
0.002334,-0.008429
0.005247,-0.012501
0.009315,-0.016471
0.014529,-0.02033
0.020877,-0.024071
0.028344,-0.027683
0.036913,-0.031156
0.046563,-0.034479
0.057272,-0.037641
0.069015,-0.040631
0.081765,-0.043437
0.095492,-0.046049
0.110163,-0.048457
0.125745,-0.050651
0.142201,-0.052625
0.159492,-0.054372
0.177579,-0.055886
0.196419,-0.057164
0.215968,-0.058205
0.23618,-0.059008
0.257008,-0.059576
0.278404,-0.05991
0.300318,-0.060017
0.322698,-0.059903
0.345492,-0.059575
0.368646,-0.059042
0.392108,-0.058314
0.415822,-0.057403
0.439732,-0.05632
0.463783,-0.055077
0.487918,-0.053687
0.512082,-0.052162
0.536217,-0.050516
0.560268,-0.048762
0.584179,-0.046912
0.607892,-0.04498
0.631354,-0.042978
0.654509,-0.040917
0.677303,-0.038811
0.699682,-0.03667
0.721596,-0.034506
0.742992,-0.032329
0.76382,-0.030152
0.784032,-0.027983
0.803581,-0.025834
0.822421,-0.023714
0.840508,-0.021635
0.8578,-0.019605
0.874255,-0.017635
0.889837,-0.015735
0.904509,-0.013914
0.918235,-0.012182
0.930985,-0.010548
0.942728,-0.009022
0.953437,-0.007611
0.963087,-0.006324
0.971656,-0.005168
0.979123,-0.004152
0.985471,-0.00328
0.990685,-0.00256
0.994753,-0.001994
0.997666,-0.001587
0.999416,-0.001342
1.0,-0.00126